'000010','AD3100',10,0.50,'2002-01-01','2002-07-01'
'000070','AD3110',10,1.00,'2002-01-01','2003-02-01'
'000230','AD3111',60,1.00,'2002-01-01','2002-03-15'
'000230','AD3111',60,0.50,'2002-03-15','2002-04-15'
'000230','AD3111',70,0.50,'2002-03-15','2002-10-15'
'000230','AD3111',80,0.50,'2002-04-15','2002-10-15'
'000230','AD3111',180,0.50,'2002-10-15','2003-01-01'
'000240','AD3111',70,1.00,'2002-02-15','2002-09-15'
'000240','AD3111',80,1.00,'2002-09-15','2003-01-01'
'000250','AD3112',60,1.00,'2002-01-01','2002-02-01'
'000250','AD3112',60,0.50,'2002-02-01','2002-03-15'
'000250','AD3112',60,1.00,'2003-01-01','2003-02-01'
'000250','AD3112',70,0.50,'2002-02-01','2002-03-15'
'000250','AD3112',70,1.00,'2002-03-15','2002-08-15'
'000250','AD3112',70,0.25,'2002-08-15','2002-10-15'
'000250','AD3112',80,0.25,'2002-08-15','2002-10-15'
'000250','AD3112',80,0.50,'2002-10-15','2002-12-01'
'000250','AD3112',180,0.50,'2002-08-15','2003-01-01'
'000260','AD3113',70,0.50,'2002-06-15','2002-07-01'
'000260','AD3113',70,1.00,'2002-07-01','2003-02-01'
'000260','AD3113',80,1.00,'2002-01-01','2002-03-01'
'000260','AD3113',80,0.50,'2002-03-01','2002-04-15'
'000260','AD3113',180,0.50,'2002-03-01','2002-04-15'
'000260','AD3113',180,1.00,'2002-04-15','2002-06-01'
'000260','AD3113',180,1.00,'2002-06-01','2002-07-01'
'000270','AD3113',60,0.50,'2002-03-01','2002-04-01'
'000270','AD3113',60,1.00,'2002-04-01','2002-09-01'
'000270','AD3113',60,0.25,'2002-09-01','2002-10-15'
'000270','AD3113',70,0.75,'2002-09-01','2002-10-15'
'000270','AD3113',70,1.00,'2002-10-15','2003-02-01'
'000270','AD3113',80,1.00,'2002-01-01','2002-03-01'
'000270','AD3113',80,0.50,'2002-03-01','2002-04-01'
'000030','IF1000',10,0.50,'2002-06-01','2003-01-01'
'000130','IF1000',90,1.00,'2002-10-01','2003-01-01'
'000130','IF1000',100,0.50,'2002-10-01','2003-01-01'
'000140','IF1000',90,0.50,'2002-10-01','2003-01-01'
'000030','IF2000',10,0.50,'2002-01-01','2003-01-01'
'000140','IF2000',100,1.00,'2002-01-01','2002-03-01'
'000140','IF2000',100,0.50,'2002-03-01','2002-07-01'
'000140','IF2000',110,0.50,'2002-03-01','2002-07-01'
'000140','IF2000',110,0.50,'2002-10-01','2003-01-01'
'000010','MA2100',10,0.50,'2002-01-01','2002-11-01'
'000110','MA2100',20,1.00,'2002-01-01','2003-03-01'
'000010','MA2110',10,1.00,'2002-01-01','2003-02-01'
'000200','MA2111',50,1.00,'2002-01-01','2002-06-15'
'000200','MA2111',60,1.00,'2002-06-15','2003-02-01'
'000220','MA2111',40,1.00,'2002-01-01','2003-02-01'
'000150','MA2112',60,1.00,'2002-01-01','2002-07-15'
'000150','MA2112',180,1.00,'2002-07-15','2003-02-01'
'000170','MA2112',60,1.00,'2002-01-01','2003-06-01'
'000170','MA2112',70,1.00,'2002-06-01','2003-02-01'
'000190','MA2112',70,1.00,'2002-01-01','2002-10-01'
'000190','MA2112',80,1.00,'2002-10-01','2003-10-01'
'000160','MA2113',60,1.00,'2002-07-15','2003-02-01'
'000170','MA2113',80,1.00,'2002-01-01','2003-02-01'
'000180','MA2113',70,1.00,'2002-04-01','2002-06-15'
'000210','MA2113',80,0.50,'2002-10-01','2003-02-01'
'000210','MA2113',180,0.50,'2002-10-01','2003-02-01'
'000050','OP1000',10,0.25,'2002-01-01','2003-02-01'
'000090','OP1010',10,1.00,'2002-01-01','2003-02-01'
'000280','OP1010',130,1.00,'2002-01-01','2003-02-01'
'000290','OP1010',130,1.00,'2002-01-01','2003-02-01'
'000300','OP1010',130,1.00,'2002-01-01','2003-02-01'
'000310','OP1010',130,1.00,'2002-01-01','2003-02-01'
'000050','OP2010',10,0.75,'2002-01-01','2003-02-01'
'000100','OP2010',10,1.00,'2002-01-01','2003-02-01'
'000320','OP2011',140,0.75,'2002-01-01','2003-02-01'
'000320','OP2011',150,0.25,'2002-01-01','2003-02-01'
'000330','OP2012',140,0.25,'2002-01-01','2003-02-01'
'000330','OP2012',160,0.75,'2002-01-01','2003-02-01'
'000340','OP2013',140,0.50,'2002-01-01','2003-02-01'
'000340','OP2013',170,0.50,'2002-01-01','2003-02-01'
'000020','PL2100',30,1.00,'2002-01-01','2002-09-15'
